transaction_date,store_id,store_size,location_type,promotion_type,is_weekend,is_festival,competition_density,items_sold
2/6/2022,29,small,semi-urban,free_gift,1,0,8,246
2/6/2022,12,large,semi-urban,loyalty_points,1,0,8,325
2/7/2022,39,medium,semi-urban,bogo,0,0,4,272
2/7/2022,2,small,urban,flat_discount,0,0,5,281
2/8/2022,32,small,urban,bogo,0,0,4,295
2/8/2022,13,medium,rural,flat_discount,0,0,9,191
2/9/2022,46,large,semi-urban,category_offer,0,0,2,262
2/10/2022,27,medium,semi-urban,category_offer,0,0,8,244
2/10/2022,49,large,urban,free_gift,0,0,2,256
2/10/2022,41,medium,urban,bogo,0,0,1,313
2/11/2022,17,medium,rural,category_offer,0,0,3,175
2/11/2022,40,small,semi-urban,free_gift,0,0,9,176
2/12/2022,31,medium,rural,category_offer,1,0,3,248
2/16/2022,34,medium,semi-urban,category_offer,0,0,9,209
2/16/2022,24,small,semi-urban,category_offer,0,0,7,170
2/16/2022,45,small,urban,free_gift,0,0,1,219
2/16/2022,35,medium,semi-urban,bogo,0,1,5,407
2/16/2022,48,medium,semi-urban,loyalty_points,0,0,9,254
2/17/2022,6,large,semi-urban,free_gift,0,0,3,256
2/20/2022,19,large,semi-urban,free_gift,1,0,9,352
2/20/2022,30,medium,rural,flat_discount,1,0,5,265
2/20/2022,7,medium,urban,free_gift,1,0,9,311
2/22/2022,10,medium,rural,free_gift,0,0,6,210
2/23/2022,41,large,urban,flat_discount,0,0,9,301
2/23/2022,32,small,semi-urban,flat_discount,0,0,7,233
2/24/2022,34,medium,urban,free_gift,0,1,7,352
2/24/2022,28,large,urban,category_offer,0,0,8,284
2/24/2022,15,medium,semi-urban,free_gift,0,0,7,201
2/25/2022,30,medium,urban,flat_discount,0,1,9,335
2/27/2022,37,medium,semi-urban,category_offer,1,0,9,221
2/28/2022,29,small,rural,flat_discount,0,0,6,187
3/2/2022,22,medium,urban,bogo,0,0,7,269
3/2/2022,4,medium,rural,flat_discount,0,0,2,232
3/2/2022,20,small,semi-urban,flat_discount,0,1,9,317
3/3/2022,32,small,semi-urban,flat_discount,0,1,1,336
3/3/2022,36,large,urban,bogo,0,0,1,356
3/4/2022,50,small,urban,flat_discount,0,0,3,253
3/4/2022,4,medium,urban,bogo,0,0,6,348
3/6/2022,27,small,urban,free_gift,1,0,5,293
3/8/2022,17,large,urban,free_gift,0,0,2,315
3/10/2022,12,small,semi-urban,bogo,0,0,9,182
3/10/2022,22,medium,rural,loyalty_points,0,1,4,287
3/10/2022,17,large,rural,flat_discount,0,1,4,373
3/14/2022,10,large,semi-urban,free_gift,0,0,5,264
3/16/2022,1,small,urban,flat_discount,0,0,8,248
3/16/2022,22,large,urban,flat_discount,0,0,4,323
3/16/2022,26,medium,urban,free_gift,0,0,5,270
3/16/2022,18,medium,urban,free_gift,0,0,4,215
3/17/2022,50,small,semi-urban,loyalty_points,0,0,6,171
3/19/2022,14,small,semi-urban,free_gift,1,0,3,275
3/19/2022,47,medium,urban,loyalty_points,1,0,8,275
3/21/2022,29,medium,urban,flat_discount,0,0,6,288
3/22/2022,12,medium,rural,flat_discount,0,1,5,291
3/23/2022,36,medium,rural,flat_discount,0,0,2,248
3/24/2022,35,large,urban,flat_discount,0,0,7,318
3/27/2022,12,small,rural,free_gift,1,0,2,205
3/28/2022,7,medium,rural,category_offer,0,0,1,250
3/29/2022,29,small,urban,flat_discount,0,1,7,347
3/30/2022,11,large,urban,loyalty_points,0,0,5,279
3/31/2022,33,medium,semi-urban,loyalty_points,0,0,1,244
3/31/2022,6,large,rural,bogo,0,0,4,301
3/31/2022,47,small,rural,flat_discount,0,0,4,209
4/1/2022,15,small,urban,flat_discount,0,0,7,201
4/2/2022,32,small,urban,flat_discount,1,0,9,308
4/3/2022,11,small,semi-urban,flat_discount,1,0,2,254
4/4/2022,23,small,semi-urban,free_gift,0,0,1,203
4/5/2022,26,large,urban,flat_discount,0,0,2,404
4/5/2022,34,small,rural,bogo,0,0,7,206
4/5/2022,46,small,semi-urban,loyalty_points,0,0,6,167
4/6/2022,34,large,rural,category_offer,0,0,4,192
4/6/2022,29,medium,rural,loyalty_points,0,0,1,241
4/6/2022,4,large,semi-urban,flat_discount,0,1,1,353
4/8/2022,17,small,semi-urban,bogo,0,0,5,204
4/8/2022,35,medium,semi-urban,free_gift,0,0,1,243
4/9/2022,13,small,urban,flat_discount,1,0,7,324
4/9/2022,41,small,semi-urban,flat_discount,1,0,1,291
4/9/2022,39,large,urban,category_offer,1,0,1,358
4/12/2022,15,small,semi-urban,category_offer,0,0,2,206
4/13/2022,29,medium,urban,bogo,0,0,3,295
4/14/2022,29,medium,urban,free_gift,0,0,1,290
4/14/2022,11,medium,urban,bogo,0,0,9,294
4/15/2022,32,large,urban,flat_discount,0,0,8,345
4/17/2022,2,small,semi-urban,bogo,1,0,5,299
4/18/2022,47,medium,semi-urban,flat_discount,0,0,2,276
4/19/2022,14,large,semi-urban,flat_discount,0,0,5,285
4/19/2022,20,medium,urban,loyalty_points,0,1,6,350
4/21/2022,22,large,urban,free_gift,0,0,1,324
4/21/2022,11,small,urban,category_offer,0,0,4,200
4/21/2022,27,medium,urban,bogo,0,0,9,282
4/23/2022,3,small,rural,bogo,1,0,2,261
4/23/2022,17,medium,urban,flat_discount,1,0,5,357
4/24/2022,44,large,urban,flat_discount,1,0,1,382
4/25/2022,28,small,urban,flat_discount,0,0,4,222
4/27/2022,29,medium,urban,category_offer,0,0,4,269
4/27/2022,21,small,semi-urban,category_offer,0,0,6,189
4/28/2022,47,medium,semi-urban,free_gift,0,0,9,232
4/28/2022,16,medium,urban,free_gift,0,0,3,303
4/30/2022,37,large,urban,loyalty_points,1,0,9,353
5/2/2022,20,medium,urban,flat_discount,0,0,6,272
5/3/2022,6,medium,urban,bogo,0,0,7,283
5/6/2022,19,small,urban,bogo,0,0,2,247
5/6/2022,5,small,rural,category_offer,0,0,6,179
5/7/2022,3,small,semi-urban,loyalty_points,1,0,6,258
5/8/2022,1,small,semi-urban,flat_discount,1,0,2,261
5/8/2022,38,large,semi-urban,loyalty_points,1,0,2,307
5/8/2022,15,medium,semi-urban,loyalty_points,1,0,2,310
5/10/2022,34,medium,semi-urban,flat_discount,0,0,1,279
5/10/2022,35,small,semi-urban,bogo,0,0,5,240
5/11/2022,49,large,semi-urban,bogo,0,0,8,271
5/11/2022,25,medium,urban,loyalty_points,0,0,2,280
5/11/2022,24,small,semi-urban,flat_discount,0,0,5,191
5/12/2022,12,medium,semi-urban,category_offer,0,0,8,192
5/13/2022,18,medium,rural,bogo,0,0,5,236
5/14/2022,15,small,semi-urban,category_offer,1,0,2,229
5/15/2022,44,medium,semi-urban,bogo,1,0,3,315
5/17/2022,16,medium,urban,free_gift,0,0,6,235
5/18/2022,27,small,semi-urban,loyalty_points,0,0,5,203
5/19/2022,8,large,urban,category_offer,0,0,4,336
5/20/2022,46,large,urban,loyalty_points,0,0,4,249
5/21/2022,25,medium,urban,flat_discount,1,0,5,359
5/23/2022,17,medium,semi-urban,category_offer,0,0,2,218
5/24/2022,29,medium,urban,flat_discount,0,0,9,299
5/24/2022,8,medium,urban,bogo,0,1,2,392
5/24/2022,15,medium,rural,free_gift,0,0,2,224
5/25/2022,27,small,urban,bogo,0,0,9,248
5/25/2022,46,medium,semi-urban,free_gift,0,0,3,276
5/26/2022,50,large,semi-urban,loyalty_points,0,0,7,223
5/26/2022,7,medium,urban,flat_discount,0,0,4,308
5/27/2022,3,small,rural,category_offer,0,0,6,189
5/27/2022,29,large,urban,bogo,0,0,4,365
5/28/2022,44,small,semi-urban,flat_discount,1,0,7,312
5/29/2022,24,small,semi-urban,flat_discount,1,0,1,258
5/30/2022,3,small,semi-urban,loyalty_points,0,0,3,209
5/31/2022,20,medium,semi-urban,loyalty_points,0,0,3,223
5/31/2022,46,large,urban,loyalty_points,0,0,1,337
6/1/2022,15,medium,urban,loyalty_points,0,0,6,251
6/2/2022,25,small,semi-urban,flat_discount,0,0,9,193
6/3/2022,30,large,semi-urban,bogo,0,0,8,333
6/3/2022,14,large,rural,category_offer,0,1,7,306
6/3/2022,7,large,rural,free_gift,0,0,8,210
6/4/2022,17,small,rural,bogo,1,0,6,234
6/5/2022,44,medium,semi-urban,bogo,1,0,9,318
6/6/2022,20,large,urban,free_gift,0,0,3,355
6/7/2022,36,large,rural,free_gift,0,0,9,245
6/9/2022,9,small,semi-urban,flat_discount,0,0,4,250
6/9/2022,38,small,urban,free_gift,0,0,7,195
6/10/2022,48,medium,rural,free_gift,0,1,9,271
6/11/2022,22,large,rural,free_gift,1,0,2,301
6/11/2022,2,medium,semi-urban,flat_discount,1,0,2,306
6/14/2022,24,medium,urban,category_offer,0,0,9,255
6/15/2022,8,small,urban,flat_discount,0,0,3,273
6/16/2022,11,medium,rural,bogo,0,1,9,301
6/16/2022,13,large,rural,category_offer,0,0,5,248
6/17/2022,17,medium,urban,free_gift,0,0,6,270
6/19/2022,8,large,urban,bogo,1,0,2,375
6/19/2022,21,large,rural,category_offer,1,0,8,278
6/21/2022,18,small,urban,free_gift,0,0,9,219
6/21/2022,30,medium,semi-urban,category_offer,0,0,2,234
6/22/2022,18,small,rural,category_offer,0,0,6,162
6/22/2022,46,large,urban,free_gift,0,0,6,313
6/22/2022,47,medium,semi-urban,free_gift,0,0,8,220
6/26/2022,31,medium,urban,flat_discount,1,0,5,366
6/26/2022,38,large,urban,bogo,1,1,9,428
6/26/2022,32,medium,rural,bogo,1,0,1,283
6/30/2022,11,large,semi-urban,free_gift,0,0,9,337
7/1/2022,45,medium,rural,free_gift,0,0,7,183
7/2/2022,25,small,semi-urban,bogo,1,0,4,244
7/3/2022,33,medium,urban,flat_discount,1,0,3,359
7/6/2022,38,large,urban,free_gift,0,1,6,340
7/6/2022,41,medium,urban,bogo,0,0,1,311
7/6/2022,8,large,urban,category_offer,0,1,3,444
7/7/2022,11,large,urban,flat_discount,0,0,2,300
7/7/2022,22,small,urban,free_gift,0,0,9,173
7/9/2022,24,large,semi-urban,loyalty_points,1,1,3,353
7/9/2022,41,small,semi-urban,flat_discount,1,0,2,291
7/9/2022,17,small,semi-urban,free_gift,1,1,4,356
7/10/2022,12,small,semi-urban,flat_discount,1,0,2,256
7/11/2022,46,large,urban,free_gift,0,1,1,424
7/13/2022,32,medium,urban,free_gift,0,0,6,306
7/13/2022,15,small,semi-urban,bogo,0,0,8,265
7/15/2022,16,medium,semi-urban,free_gift,0,0,2,242
7/17/2022,22,medium,urban,loyalty_points,1,0,9,230
7/17/2022,28,small,rural,flat_discount,1,0,3,220
7/20/2022,20,large,rural,flat_discount,0,0,8,250
7/20/2022,33,large,semi-urban,loyalty_points,0,0,8,244
7/21/2022,10,medium,urban,free_gift,0,0,3,276
7/21/2022,40,large,rural,loyalty_points,0,0,3,268
7/22/2022,32,medium,semi-urban,free_gift,0,0,6,268
7/22/2022,50,large,rural,category_offer,0,0,1,252
7/24/2022,33,medium,rural,bogo,1,0,4,320
7/25/2022,2,medium,rural,category_offer,0,0,1,225
7/26/2022,33,small,semi-urban,loyalty_points,0,0,3,187
7/27/2022,33,large,urban,free_gift,0,0,9,325
8/2/2022,41,medium,semi-urban,flat_discount,0,1,5,336
8/3/2022,13,small,semi-urban,bogo,0,0,5,281
8/4/2022,30,small,semi-urban,flat_discount,0,0,4,182
8/4/2022,33,medium,urban,flat_discount,0,0,3,283
8/4/2022,13,medium,urban,bogo,0,0,5,301
8/5/2022,26,medium,rural,free_gift,0,0,4,228
8/5/2022,22,large,semi-urban,free_gift,0,0,8,302
8/5/2022,39,small,rural,bogo,0,0,4,207
8/6/2022,2,medium,rural,free_gift,1,0,8,215
8/6/2022,38,small,semi-urban,flat_discount,1,0,6,278
8/6/2022,39,large,semi-urban,flat_discount,1,0,5,358
8/8/2022,26,large,rural,flat_discount,0,1,4,304
8/12/2022,46,medium,semi-urban,free_gift,0,0,4,242
8/13/2022,50,medium,semi-urban,flat_discount,1,0,4,263
8/14/2022,15,medium,urban,bogo,1,1,9,401
8/14/2022,34,medium,semi-urban,bogo,1,0,4,295
8/14/2022,42,large,semi-urban,category_offer,1,0,9,323
8/16/2022,44,medium,urban,flat_discount,0,0,6,289
8/16/2022,49,medium,urban,category_offer,0,1,7,306
8/17/2022,40,medium,urban,category_offer,0,1,3,373
8/18/2022,11,large,urban,category_offer,0,0,8,260
8/19/2022,3,medium,urban,loyalty_points,0,0,3,269
8/19/2022,6,small,semi-urban,flat_discount,0,0,1,206
8/21/2022,9,medium,rural,flat_discount,1,0,5,265
8/21/2022,6,large,semi-urban,loyalty_points,1,0,2,326
8/23/2022,9,small,urban,free_gift,0,1,6,325
8/24/2022,39,small,urban,free_gift,0,0,9,256
8/24/2022,31,small,semi-urban,category_offer,0,0,1,199
8/25/2022,32,medium,urban,category_offer,0,0,4,275
8/27/2022,41,medium,rural,loyalty_points,1,0,1,241
8/30/2022,50,medium,semi-urban,loyalty_points,0,0,1,236
8/31/2022,12,medium,rural,category_offer,0,0,8,206
9/1/2022,8,medium,urban,bogo,0,1,2,391
9/2/2022,8,medium,semi-urban,loyalty_points,0,1,1,266
9/3/2022,50,large,urban,flat_discount,1,0,8,374
9/4/2022,28,medium,rural,flat_discount,1,0,4,287
9/4/2022,20,large,semi-urban,loyalty_points,1,0,3,293
9/6/2022,47,medium,urban,bogo,0,0,4,275
9/6/2022,7,small,urban,flat_discount,0,0,5,286
9/7/2022,11,medium,urban,flat_discount,0,0,1,314
9/7/2022,20,medium,semi-urban,loyalty_points,0,1,1,306
9/8/2022,16,medium,urban,free_gift,0,0,3,252
9/10/2022,4,small,semi-urban,category_offer,1,0,6,211
9/10/2022,6,small,urban,flat_discount,1,0,1,339
9/11/2022,22,large,semi-urban,category_offer,1,0,2,327
9/11/2022,26,small,rural,category_offer,1,0,7,190
9/13/2022,3,large,rural,bogo,0,0,1,309
9/15/2022,41,small,rural,bogo,0,0,7,178
9/16/2022,42,medium,urban,flat_discount,0,0,4,330
9/16/2022,14,medium,urban,loyalty_points,0,0,6,285
9/18/2022,11,medium,semi-urban,category_offer,1,0,8,254
9/18/2022,18,medium,urban,loyalty_points,1,0,9,272
9/20/2022,12,small,semi-urban,bogo,0,0,6,161
9/21/2022,23,small,urban,category_offer,0,0,9,175
9/22/2022,12,medium,urban,category_offer,0,0,4,234
9/23/2022,13,medium,urban,category_offer,0,0,6,265
9/25/2022,25,large,rural,loyalty_points,1,1,8,342
9/25/2022,45,large,urban,bogo,1,0,9,344
9/26/2022,19,large,semi-urban,flat_discount,0,0,3,293
9/27/2022,46,large,urban,category_offer,0,1,2,406
9/27/2022,36,medium,semi-urban,category_offer,0,0,6,240
9/29/2022,45,small,urban,free_gift,0,0,4,190
10/2/2022,8,large,rural,flat_discount,1,0,1,323
10/4/2022,29,medium,rural,free_gift,0,1,8,251
10/4/2022,32,medium,urban,bogo,0,1,9,395
10/6/2022,44,small,rural,bogo,0,0,9,212
10/7/2022,18,medium,rural,category_offer,0,0,2,191
10/7/2022,6,medium,rural,category_offer,0,0,9,173
10/8/2022,18,large,rural,flat_discount,1,1,7,377
10/11/2022,19,medium,urban,bogo,0,1,5,328
10/12/2022,22,medium,semi-urban,bogo,0,0,7,272
10/12/2022,37,large,urban,flat_discount,0,0,9,311
10/12/2022,32,small,urban,category_offer,0,0,8,240
10/13/2022,41,medium,rural,loyalty_points,0,0,6,164
10/16/2022,3,small,urban,bogo,1,0,4,297
10/16/2022,28,medium,semi-urban,category_offer,1,0,1,249
10/20/2022,10,large,rural,loyalty_points,0,0,6,206
10/21/2022,35,small,rural,loyalty_points,0,0,3,131
10/23/2022,29,large,rural,flat_discount,1,1,6,416
10/23/2022,15,small,urban,loyalty_points,1,0,6,239
10/23/2022,33,large,urban,bogo,1,0,4,396
10/29/2022,7,large,semi-urban,bogo,1,0,2,354
10/29/2022,12,large,urban,flat_discount,1,1,9,411
10/30/2022,49,small,urban,free_gift,1,0,2,284
11/1/2022,30,large,urban,flat_discount,0,0,3,350
11/7/2022,21,medium,rural,flat_discount,0,0,1,211
11/9/2022,31,medium,semi-urban,bogo,0,0,7,284
11/9/2022,24,large,urban,category_offer,0,0,1,295
11/10/2022,20,small,semi-urban,loyalty_points,0,0,9,155
11/11/2022,37,large,urban,bogo,0,1,1,450
11/12/2022,4,small,urban,loyalty_points,1,0,5,243
11/14/2022,28,medium,rural,loyalty_points,0,0,7,189
11/14/2022,44,medium,semi-urban,category_offer,0,0,3,228
11/14/2022,20,small,rural,flat_discount,0,0,9,181
11/16/2022,24,small,urban,category_offer,0,0,8,156
11/17/2022,50,small,rural,loyalty_points,0,0,3,115
11/17/2022,49,medium,semi-urban,category_offer,0,0,5,245
11/20/2022,32,medium,semi-urban,bogo,1,0,7,334
11/20/2022,41,medium,semi-urban,free_gift,1,0,4,265
11/22/2022,36,small,rural,category_offer,0,0,5,158
11/23/2022,34,small,semi-urban,free_gift,0,0,3,213
11/24/2022,36,medium,semi-urban,flat_discount,0,1,9,340
11/24/2022,2,small,rural,bogo,0,0,9,142
11/25/2022,15,large,rural,category_offer,0,0,7,216
11/25/2022,34,large,semi-urban,loyalty_points,0,0,2,260
11/26/2022,36,medium,semi-urban,flat_discount,1,0,7,311
11/26/2022,6,medium,urban,loyalty_points,1,0,7,356
11/27/2022,39,large,urban,bogo,1,1,5,464
11/30/2022,42,small,semi-urban,category_offer,0,0,9,142
12/1/2022,12,small,rural,category_offer,0,0,3,181
12/2/2022,3,small,rural,category_offer,0,0,4,201
12/3/2022,45,large,urban,loyalty_points,1,0,1,354
12/4/2022,18,small,semi-urban,bogo,1,0,6,249
12/4/2022,40,medium,urban,loyalty_points,1,0,4,326
12/4/2022,21,large,rural,flat_discount,1,0,1,343
12/5/2022,15,large,rural,category_offer,0,0,2,228
12/5/2022,33,medium,semi-urban,category_offer,0,0,3,245
12/6/2022,35,small,rural,category_offer,0,0,9,177
12/7/2022,26,large,semi-urban,bogo,0,0,8,330
12/8/2022,8,medium,semi-urban,loyalty_points,0,0,7,212
12/8/2022,36,small,urban,flat_discount,0,0,4,244
12/10/2022,48,small,semi-urban,flat_discount,1,0,1,302
12/12/2022,30,large,semi-urban,category_offer,0,1,8,310
12/12/2022,23,medium,semi-urban,free_gift,0,0,4,253
12/12/2022,42,large,urban,loyalty_points,0,0,3,266
12/13/2022,44,large,rural,bogo,0,0,9,299
12/14/2022,14,medium,urban,flat_discount,0,0,4,286
12/16/2022,14,medium,semi-urban,loyalty_points,0,0,4,254
12/16/2022,2,medium,semi-urban,free_gift,0,0,9,240
12/22/2022,37,medium,semi-urban,flat_discount,0,0,2,233
12/23/2022,5,medium,semi-urban,category_offer,0,0,5,265
12/24/2022,38,large,urban,free_gift,1,0,4,401
12/26/2022,45,medium,urban,free_gift,0,0,9,285
12/29/2022,41,large,semi-urban,free_gift,0,0,5,260
12/29/2022,47,medium,semi-urban,category_offer,0,0,9,210
12/30/2022,14,medium,urban,category_offer,0,0,9,256
12/31/2022,39,medium,semi-urban,category_offer,1,0,2,266
12/31/2022,25,medium,semi-urban,flat_discount,1,0,9,330
1/5/2023,20,medium,semi-urban,loyalty_points,0,0,3,229
1/6/2023,2,small,rural,category_offer,0,0,4,100
1/7/2023,39,medium,urban,category_offer,1,0,1,330
1/8/2023,6,small,urban,bogo,1,0,1,313
1/9/2023,17,medium,rural,loyalty_points,0,0,1,205
1/9/2023,25,medium,semi-urban,category_offer,0,0,9,208
1/11/2023,28,medium,semi-urban,flat_discount,0,0,8,266
1/11/2023,2,large,rural,bogo,0,0,5,312
1/12/2023,35,medium,rural,loyalty_points,0,0,5,202
1/14/2023,37,medium,rural,flat_discount,1,0,9,254
1/15/2023,5,medium,semi-urban,loyalty_points,1,0,3,269
1/15/2023,1,medium,semi-urban,category_offer,1,0,3,281
1/20/2023,40,small,semi-urban,category_offer,0,0,7,163
1/20/2023,12,small,urban,bogo,0,0,9,267
1/21/2023,36,medium,semi-urban,flat_discount,1,0,6,308
1/21/2023,45,medium,urban,loyalty_points,1,0,2,347
1/22/2023,23,small,rural,bogo,1,1,1,373
1/23/2023,47,small,semi-urban,category_offer,0,0,2,181
1/24/2023,31,small,semi-urban,bogo,0,0,1,262
1/24/2023,11,large,urban,flat_discount,0,0,9,294
1/25/2023,10,medium,urban,flat_discount,0,1,8,378
1/26/2023,3,medium,urban,free_gift,0,0,7,256
1/26/2023,14,small,semi-urban,loyalty_points,0,0,3,160
1/27/2023,16,medium,urban,bogo,0,0,8,303
1/28/2023,10,small,semi-urban,bogo,1,0,2,217
1/31/2023,29,small,rural,bogo,0,0,2,170
1/31/2023,10,medium,rural,free_gift,0,0,3,216
1/31/2023,12,small,semi-urban,bogo,0,0,7,226
1/31/2023,30,small,urban,loyalty_points,0,0,1,217
2/1/2023,41,small,rural,free_gift,0,1,8,206
2/1/2023,1,small,rural,free_gift,0,0,7,148
2/2/2023,5,small,urban,flat_discount,0,1,4,342
2/2/2023,20,medium,semi-urban,loyalty_points,0,0,5,234
2/2/2023,8,large,urban,flat_discount,0,0,1,341
2/3/2023,43,medium,rural,flat_discount,0,0,4,261
2/4/2023,12,medium,rural,category_offer,1,0,1,271
2/5/2023,1,small,urban,free_gift,1,0,1,273
2/5/2023,20,large,rural,bogo,1,0,1,334
2/5/2023,28,medium,semi-urban,bogo,1,0,7,273
2/5/2023,43,small,rural,category_offer,1,0,7,201
2/6/2023,37,medium,semi-urban,flat_discount,0,0,4,285
2/6/2023,47,small,rural,category_offer,0,0,2,191
2/6/2023,37,medium,urban,category_offer,0,0,3,306
2/7/2023,12,medium,urban,bogo,0,0,8,288
2/8/2023,37,large,urban,free_gift,0,1,8,419
2/9/2023,49,medium,rural,bogo,0,0,6,237
2/10/2023,49,medium,rural,category_offer,0,0,9,229
2/11/2023,44,large,rural,free_gift,1,0,9,287
2/12/2023,28,small,rural,bogo,1,0,4,270
2/17/2023,47,small,urban,free_gift,0,1,1,363
2/18/2023,15,medium,urban,loyalty_points,1,0,1,307
2/22/2023,6,medium,urban,bogo,0,0,5,310
2/22/2023,44,medium,urban,loyalty_points,0,0,2,296
2/23/2023,20,large,urban,bogo,0,0,6,338
2/23/2023,50,medium,semi-urban,flat_discount,0,1,7,295
2/24/2023,14,medium,urban,flat_discount,0,0,1,355
2/24/2023,2,medium,urban,bogo,0,0,6,290
2/26/2023,9,large,urban,flat_discount,1,0,8,369
3/1/2023,37,large,urban,flat_discount,0,0,5,358
3/5/2023,20,large,rural,loyalty_points,1,0,7,258
3/8/2023,26,small,rural,loyalty_points,0,0,6,126
3/8/2023,29,medium,rural,category_offer,0,0,4,214
3/11/2023,1,small,semi-urban,flat_discount,1,1,7,289
3/11/2023,35,small,urban,flat_discount,1,0,9,275
3/11/2023,6,small,rural,flat_discount,1,0,7,235
3/14/2023,37,medium,urban,category_offer,0,0,5,258
3/14/2023,5,medium,urban,loyalty_points,0,1,7,290
3/18/2023,33,small,urban,bogo,1,0,3,355
3/18/2023,49,medium,urban,flat_discount,1,0,2,346
3/18/2023,14,medium,urban,free_gift,1,0,5,355
3/19/2023,12,medium,urban,bogo,1,0,4,346
3/20/2023,42,small,semi-urban,bogo,0,0,5,207
3/21/2023,20,medium,urban,free_gift,0,0,8,272
3/21/2023,50,large,urban,category_offer,0,0,4,302
3/23/2023,24,small,rural,flat_discount,0,0,9,148
3/25/2023,43,small,urban,flat_discount,1,0,7,325
3/26/2023,34,medium,urban,loyalty_points,1,0,7,278
3/28/2023,25,large,rural,flat_discount,0,1,8,294
3/29/2023,50,medium,urban,flat_discount,0,0,6,320
3/29/2023,29,medium,urban,flat_discount,0,0,8,268
3/29/2023,39,medium,semi-urban,flat_discount,0,0,3,245
3/30/2023,31,medium,urban,bogo,0,0,1,272
3/31/2023,47,small,semi-urban,category_offer,0,0,6,230
3/31/2023,43,medium,rural,bogo,0,0,1,224
4/1/2023,50,large,urban,bogo,1,0,9,379
4/1/2023,23,medium,semi-urban,category_offer,1,0,2,306
4/2/2023,44,large,semi-urban,free_gift,1,0,2,344
4/2/2023,38,medium,urban,loyalty_points,1,0,7,292
4/5/2023,20,small,semi-urban,loyalty_points,0,0,2,146
4/5/2023,23,large,urban,flat_discount,0,0,8,300
4/6/2023,45,small,semi-urban,category_offer,0,0,6,191
4/9/2023,16,medium,urban,free_gift,1,0,7,294
4/11/2023,50,small,semi-urban,loyalty_points,0,0,7,179
4/12/2023,42,small,urban,free_gift,0,0,6,249
4/13/2023,8,medium,rural,loyalty_points,0,1,9,287
4/14/2023,50,small,urban,category_offer,0,0,9,182
4/15/2023,21,medium,semi-urban,flat_discount,1,0,7,348
